iter	Logloss
0	0.6910302293
1	0.6885416328
2	0.6865293553
3	0.6843499654
4	0.6821168594
5	0.6802445971
6	0.6778478841
7	0.6753718329
8	0.6733198329
9	0.6705054512
10	0.6677421092
11	0.6650985402
12	0.6633235057
13	0.6608228743
14	0.6585578209
15	0.6565789174
16	0.6542822924
17	0.6529120772
18	0.6511096733
19	0.648361482
20	0.6461248665
21	0.6436523739
22	0.6419247767
23	0.6395763739
24	0.6373805399
25	0.6350061816
26	0.6327798156
27	0.6310519124
28	0.6288373388
29	0.6272076594
30	0.6254009193
31	0.6232939214
32	0.6216205086
33	0.6191542693
34	0.6172710128
35	0.615792739
36	0.6137144673
37	0.6119538212
38	0.6099626232
39	0.6086462191
40	0.6068417892
41	0.6054723294
42	0.6034221284
43	0.6015323678
44	0.5995947344
45	0.5977537067
46	0.5961916549
47	0.5941861364
48	0.592973407
49	0.5916235601
50	0.5896777953
51	0.587823467
52	0.5858718743
53	0.5837317541
54	0.5819605065
55	0.5804054192
56	0.5783168232
57	0.5766446241
58	0.5752414301
59	0.5738428513
60	0.5720885581
61	0.5702455403
62	0.5684538103
63	0.5667928406
64	0.5646269147
65	0.5631185256
66	0.5610248426
67	0.5596031351
68	0.5575611468
69	0.5561265401
70	0.5550165772
71	0.5537398879
72	0.5519446155
73	0.5497784347
74	0.5484471568
75	0.5467030817
76	0.5454541856
77	0.543838352
78	0.5423491525
79	0.5406262032
80	0.5390691582
81	0.5364818511
82	0.5348655088
83	0.5334602903
84	0.5316791185
85	0.5299075534
86	0.5280614824
87	0.5264113833
88	0.5246723171
89	0.5239346469
90	0.5221754652
91	0.5201984634
92	0.5181959878
93	0.5162660983
94	0.5142995952
95	0.5127426283
96	0.5116450447
97	0.5102590024
98	0.5086019419
99	0.5072995825
100	0.5052946991
101	0.504025523
102	0.5024860953
103	0.5012925832
104	0.4997080688
105	0.4988369192
106	0.4977154064
107	0.4958856435
108	0.4944392669
109	0.4929393777
110	0.4915691799
111	0.4897929903
112	0.4888185201
113	0.4869951462
114	0.485484633
115	0.4838970242
116	0.4823362786
117	0.4812193102
118	0.4796198195
119	0.4777809978
120	0.4767982302
121	0.4751316062
122	0.4736204928
123	0.4719839322
124	0.4705585693
125	0.4693857699
126	0.4678224736
127	0.4662446174
128	0.46467734
129	0.4636315806
130	0.4621376149
131	0.4607411191
132	0.4589156673
133	0.4578876927
134	0.4565394295
135	0.4552434436
136	0.4535750541
137	0.4524872221
138	0.4507093573
139	0.4494583113
140	0.4484776998
141	0.4470353394
142	0.4453162366
143	0.4443157089
144	0.4429691845
145	0.4418510425
146	0.4405685108
147	0.4393695613
148	0.438336023
149	0.4372084675
150	0.4355279844
151	0.4342175249
152	0.4331043301
153	0.4318955664
154	0.4306329345
155	0.4296295437
156	0.4284791535
157	0.426930629
158	0.4257952386
159	0.4241752583
160	0.4227491412
161	0.4216240316
162	0.4205292443
163	0.419628318
164	0.4190164619
165	0.4182688121
166	0.417072847
167	0.4157047025
168	0.4144398858
169	0.4130927263
170	0.4117428784
171	0.4107521197
172	0.4097584301
173	0.4087855569
174	0.4074070844
175	0.4065919909
176	0.4056230229
177	0.4038750755
178	0.4031123211
179	0.4022423296
180	0.4009820038
181	0.3999903983
182	0.3986450105
183	0.3978466926
184	0.3968061209
185	0.3956860551
186	0.3944202477
187	0.3934933954
188	0.3922481886
189	0.3909600768
190	0.3900435094
191	0.3888731661
192	0.3877422234
193	0.3867224928
194	0.3859993795
195	0.3848735341
